stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening F:\C-projects\C-games\blasteroids\SELF-CONTAINED\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
system   D            wsystem.c:392  win_get_joystick_driver          [   0.00030] Selected combined XInput/DirectInput joystick driver.
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00064] PathFindOnPath found: C:\Windows\system32\xinput1_4.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00066] Calling LoadLibrary C:\Windows\system32\xinput1_4.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00221] Loaded C:\Windows\system32\xinput1_4.dll
xinput   I             wjoyxi.c:214  _imp_load_xinput_module_version  [   0.00224] Module "xinput1_4.dll" loaded.
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00351] PathFindOnPath found: C:\Windows\system32\dinput8.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00353] Calling LoadLibrary C:\Windows\system32\dinput8.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00703] Loaded C:\Windows\system32\dinput8.dll
dinput   D         wjoydxnu.cpp:771  dinput_is_device_xinput          [   1.15836] Checking for XInput : \\?\HID#VID_054C&PID_0268#6&1c04afd8&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
dinput   I         wjoydxnu.cpp:974  joystick_enum_callback           [   1.16334] Joystick 0 initialized, GUID: 64168f90-f8e9-11ea-8014445535400
dinput   I         wjoydxnu.cpp:1107 joydx_merge                      [   1.18927] Merged, num joysticks=1
dtor     D               dtor.c:196  _al_register_destructor          [   1.18963] added dtor for timer 034DA400, func 61CF628F
dtor     D               dtor.c:196  _al_register_destructor          [   1.18966] added dtor for queue 034DA4B0, func 61CE5C4F
system   D            wsystem.c:771  _al_win_safe_load_library        [   1.19005] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:682  load_library_at_path             [   1.19007] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:685  load_library_at_path             [   1.19302] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   1.20665] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   1.21290] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   1.21292] al_display=034DAB40
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   1.21294] al_display->vt=034D55A0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   1.21627] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   1.21630] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21631] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21633] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21634] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21635] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21636] Score is : 641
