stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening F:\C-projects\C-games\blasteroids\SELF-CONTAINED\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
system   D            wsystem.c:392  win_get_joystick_driver          [   0.00084] Selected combined XInput/DirectInput joystick driver.
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00124] PathFindOnPath found: C:\Windows\system32\xinput1_4.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00126] Calling LoadLibrary C:\Windows\system32\xinput1_4.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00279] Loaded C:\Windows\system32\xinput1_4.dll
xinput   I             wjoyxi.c:214  _imp_load_xinput_module_version  [   0.00281] Module "xinput1_4.dll" loaded.
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00380] PathFindOnPath found: C:\Windows\system32\dinput8.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00383] Calling LoadLibrary C:\Windows\system32\dinput8.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00467] Loaded C:\Windows\system32\dinput8.dll
dinput   D         wjoydxnu.cpp:771  dinput_is_device_xinput          [   0.09846] Checking for XInput : \\?\HID#VID_054C&PID_0268#6&1c04afd8&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
dinput   I         wjoydxnu.cpp:974  joystick_enum_callback           [   0.10355] Joystick 0 initialized, GUID: 64168f90-f8e9-11ea-8014445535400
dinput   I         wjoydxnu.cpp:1107 joydx_merge                      [   0.13152] Merged, num joysticks=1
dtor     D               dtor.c:196  _al_register_destructor          [   0.13185] added dtor for timer 034EA040, func 61CF628F
dtor     D               dtor.c:196  _al_register_destructor          [   0.13189] added dtor for queue 034EA0F0, func 61CE5C4F
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.13227] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:682  load_library_at_path             [   0.13230] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:685  load_library_at_path             [   0.13561] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.15297] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.16058] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.16062] al_display=034EA9A0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.16064] al_display->vt=034E5498
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.16509] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.16512] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16514] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.16515] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16516] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.16517] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16518] Score is : 641
